Symbol,Date,Open,High,Low,Close,Volume,Year,Month,Week,Weekday,avg_daily_price,Previous_Close,Daily_Gain_Loss_Pct,Open_vs_PrevClose_Pct,Low_vs_PrevClose_Pct,Close_vs_PrevClose_Pct,mx_percent_decline,Shares_Purchased,Total_Value_Purchased,BOD99-1,BOD98-2,BOD97-3,BOD96-4,BOD95-5,BOD94-6,BOD93-7,BOD92-8,BOD91-9,BOD90-10,BOD89-11,BOD88-12,BOD87-13,BOD86-14,BOD85-15,BOD84-16,BOD83-17,BOD82-18,BOD81-19,BOD80-20,BOD79-21,BOD78-22,BOD77-23,BOD76-24,BOD75-25,BOD99-1_Executed,BOD98-2_Executed,BOD97-3_Executed,BOD96-4_Executed,BOD95-5_Executed,BOD94-6_Executed,BOD93-7_Executed,BOD92-8_Executed,BOD91-9_Executed,BOD90-10_Executed,BOD89-11_Executed,BOD88-12_Executed,BOD87-13_Executed,BOD86-14_Executed,BOD85-15_Executed,BOD84-16_Executed,BOD83-17_Executed,BOD82-18_Executed,BOD81-19_Executed,BOD80-20_Executed,BOD79-21_Executed,BOD78-22_Executed,BOD77-23_Executed,BOD76-24_Executed,BOD75-25_Executed
AMZN,2015-01-02,15.628999710083008,15.737500190734863,15.347999572753906,15.425999641418455,55664000,2015,1,1,Friday,15.5351,15.517499923706056,-0.59,0.72,-1.09,-0.59,1.09,1,15.3623,15.3623,15.2071,15.052,14.8968,14.7416,14.5864,14.4313,14.2761,14.1209,13.9657,13.8106,13.6554,13.5002,13.345,13.1899,13.0347,12.8795,12.7243,12.5692,12.414,12.2588,12.1036,11.9485,11.7933,11.6381,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2015-01-05,15.350500106811523,15.418999671936035,15.042499542236328,15.10949993133545,55484000,2015,1,1,Monday,15.2304,15.425999641418455,-2.05,-0.49,-2.49,-2.05,2.49,2,30.3892,15.2717,15.1175,14.9632,14.809,14.6547,14.5004,14.3462,14.1919,14.0377,13.8834,13.7291,13.5749,13.4206,13.2664,13.1121,12.9578,12.8036,12.6493,12.4951,12.3408,12.1865,12.0323,11.878,11.7238,11.5695,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2015-01-06,15.112000465393066,15.149999618530272,14.619000434875488,14.76449966430664,70380000,2015,1,1,Tuesday,14.9114,15.10949993133545,-2.28,0.02,-3.25,-2.28,3.25,3,44.4219,14.9584,14.8073,14.6562,14.5051,14.354,14.2029,14.0518,13.9007,13.7496,13.5985,13.4475,13.2964,13.1453,12.9942,12.8431,12.692,12.5409,12.3898,12.2387,12.0876,11.9365,11.7854,11.6343,11.4832,11.3321,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2015-01-07,14.875,15.064000129699709,14.76650047302246,14.92099952697754,52806000,2015,1,1,Wednesday,14.9066,14.76449966430664,1.06,0.75,0.01,1.06,-0.01,0,0.0,14.6169,14.4692,14.3216,14.1739,14.0263,13.8786,13.731,13.5833,13.4357,13.288,13.1404,12.9928,12.8451,12.6975,12.5498,12.4022,12.2545,12.1069,11.9592,11.8116,11.664,11.5163,11.3687,11.221,11.0734,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2015-01-08,15.015999794006348,15.156999588012695,14.805500030517578,15.02299976348877,61768000,2015,1,1,Thursday,15.0004,14.92099952697754,0.68,0.64,-0.77,0.68,0.77,0,0.0,14.7718,14.6226,14.4734,14.3242,14.1749,14.0257,13.8765,13.7273,13.5781,13.4289,13.2797,13.1305,12.9813,12.8321,12.6828,12.5336,12.3844,12.2352,12.086,11.9368,11.7876,11.6384,11.4892,11.34,11.1907,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2015-01-09,15.074000358581545,15.143500328063965,14.833999633789062,14.846500396728516,51848000,2015,1,1,Friday,14.9745,15.02299976348877,-1.17,0.34,-1.26,-1.17,1.26,1,14.8728,14.8728,14.7225,14.5723,14.4221,14.2718,14.1216,13.9714,13.8212,13.6709,13.5207,13.3705,13.2202,13.07,12.9198,12.7695,12.6193,12.4691,12.3189,12.1686,12.0184,11.8682,11.7179,11.5677,11.4175,11.2672,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2015-01-12,14.878000259399414,14.92549991607666,14.46399974822998,14.570500373840332,68428000,2015,1,2,Monday,14.7095,14.846500396728516,-1.86,0.21,-2.58,-1.86,2.58,2,29.2476,14.698,14.5496,14.4011,14.2526,14.1042,13.9557,13.8072,13.6588,13.5103,13.3619,13.2134,13.0649,12.9165,12.768,12.6195,12.4711,12.3226,12.1741,12.0257,11.8772,11.7287,11.5803,11.4318,11.2833,11.1349,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2015-01-13,14.87399959564209,15.074999809265137,14.661499977111816,14.737000465393066,82728000,2015,1,2,Tuesday,14.8369,14.570500373840332,1.14,2.08,0.62,1.14,-0.62,0,0.0,14.4248,14.2791,14.1334,13.9877,13.842,13.6963,13.5506,13.4049,13.2592,13.1135,12.9677,12.822,12.6763,12.5306,12.3849,12.2392,12.0935,11.9478,11.8021,11.6564,11.5107,11.365,11.2193,11.0736,10.9279,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2015-01-14,14.596500396728516,14.795499801635742,14.324999809265137,14.66349983215332,110774000,2015,1,2,Wednesday,14.5951,14.737000465393066,-0.5,-0.95,-2.8,-0.5,2.8,2,29.0319,14.5896,14.4423,14.2949,14.1475,14.0002,13.8528,13.7054,13.558,13.4107,13.2633,13.1159,12.9686,12.8212,12.6738,12.5265,12.3791,12.2317,12.0843,11.937,11.7896,11.6422,11.4949,11.3475,11.2001,11.0528,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2015-01-15,14.699999809265137,14.800000190734863,14.340999603271484,14.34749984741211,88384000,2015,1,2,Thursday,14.5471,14.66349983215332,-2.16,0.25,-2.2,-2.16,2.2,2,28.8871,14.5169,14.3702,14.2236,14.077,13.9303,13.7837,13.6371,13.4904,13.3438,13.1971,13.0505,12.9039,12.7572,12.6106,12.464,12.3173,12.1707,12.0241,11.8774,11.7308,11.5842,11.4375,11.2909,11.1443,10.9976,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2015-01-16,14.314000129699709,14.53950023651123,14.262499809265137,14.536999702453612,69564000,2015,1,2,Friday,14.4132,14.34749984741211,1.32,-0.23,-0.59,1.32,0.59,0,0.0,14.204,14.0605,13.9171,13.7736,13.6301,13.4866,13.3432,13.1997,13.0562,12.9127,12.7693,12.6258,12.4823,12.3388,12.1954,12.0519,11.9084,11.7649,11.6215,11.478,11.3345,11.191,11.0476,10.9041,10.7606,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2015-01-20,14.62950038909912,14.66800022125244,14.319499969482422,14.472000122070312,61502000,2015,1,3,Tuesday,14.5223,14.536999702453612,-0.45,0.64,-1.5,-0.45,1.5,1,14.3916,14.3916,14.2463,14.1009,13.9555,13.8101,13.6648,13.5194,13.374,13.2287,13.0833,12.9379,12.7926,12.6472,12.5018,12.3564,12.2111,12.0657,11.9203,11.775,11.6296,11.4842,11.3389,11.1935,11.0481,10.9027,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
